Minutes,Seconds,Milliseconds,FL Outer,FL Inner,FR Outer,FR Inner,RL Outer,RL Inner,RR Outer,RR Inner,AcX,AcY,AcZ,GyX,GyY,GyZ,Satellites,Lat,Long,GPS Speed,Vehicle Speed,RPM
0,8,301,0,0,0,0,0,0,0,0,-0.33,0.084,0.835,-0.954,-2.382,0.542,0,0,0,0,0,674
0,8,513,0,0,0,0,0,0,0,0,-0.34,0.079,0.831,-1.977,-2.763,0.702,0,0,0,0,0,675
0,8,653,0,0,0,0,0,0,0,0,-0.32,0.078,0.836,-0.565,-2.695,0.55,0,0,0,0,0,676
0,8,797,0,0,0,0,0,0,0,0,-0.33,0.051,0.827,-1.084,-2.649,0.649,0,0,0,0,0,678
0,8,937,0,0,0,0,0,0,0,0,-0.34,0.054,0.816,-0.641,-2.695,0.565,0,0,0,0,0,679
0,9,76,0,0,0,0,0,0,0,0,-0.33,0.078,0.828,-0.168,-1.718,0.664,0,0,0,0,0,684
0,9,217,0,0,0,0,0,0,0,0,-0.32,0.083,0.84,-0.992,-2.626,0.466,0,0,0,0,0,682
0,9,357,0,0,0,0,0,0,0,0,-0.32,0.081,0.847,0.137,-2.496,0.855,0,0,0,0,0,681
0,9,501,0,0,0,0,0,0,0,0,-0.34,0.069,0.828,-1.687,-2.748,0.321,0,0,0,0,0,683
0,9,641,0,0,0,0,0,0,0,0,-0.33,0.057,0.815,0.191,-2.466,0.756,0,0,0,0,0,684
0,9,783,0,0,0,0,0,0,0,0,-0.32,0.082,0.817,-0.924,-1.794,0.817,0,0,0,0,0,689
0,9,923,0,0,0,0,0,0,0,0,-0.33,0.075,0.842,-0.389,-2.603,0.618,0,0,0,0,0,692
0,10,68,0,0,0,0,0,0,0,0,-0.32,0.065,0.81,-1.939,-2.695,0.481,0,0,0,0,0,693
0,10,209,0,0,0,0,0,0,0,0,-0.32,0.075,0.809,-0.496,-2.786,0.458,0,0,0,0,0,696
0,10,351,0,0,0,0,0,0,0,0,-0.33,0.086,0.82,-0.687,-1.458,0.565,0,0,0,0,0,694
0,10,491,0,0,0,0,0,0,0,0,-0.33,0.07,0.833,-0.405,-3.153,0.519,0,0,0,0,0,696
0,10,636,0,0,0,0,0,0,0,0,-0.32,0.044,0.812,-1.015,-2.687,0.527,0,0,0,0,0,697
0,10,777,0,0,0,0,0,0,0,0,-0.32,0.078,0.801,0.595,-1.847,0.687,0,0,0,0,0,700
0,10,917,0,0,0,0,0,0,0,0,-0.33,0.071,0.859,-1.069,-2.855,0.855,0,0,0,0,0,694
0,11,57,0,0,0,0,0,0,0,0,-0.31,0.079,0.813,-1.466,-3,0.947,0,0,0,0,0,699
0,11,195,0,0,0,0,0,0,0,0,-0.33,0.041,0.825,0.611,-2.282,0.565,0,0,0,0,0,701
0,11,341,0,0,0,0,0,0,0,0,-0.33,0.081,0.812,-1.794,-2.542,0.809,0,0,0,0,0,702
0,11,483,0,0,0,0,0,0,0,0,-0.32,0.056,0.834,-0.908,-3.466,1.145,0,0,0,0,0,702
0,11,622,0,0,0,0,0,0,0,0,-0.33,0.024,0.826,0.366,-2.328,0.603,0,0,0,0,0,698
0,11,764,0,0,0,0,0,0,0,0,-0.34,0.074,0.807,-0.992,-1.802,0.763,0,0,0,0,0,702
0,11,912,0,0,0,0,0,0,0,0,-0.32,0.082,0.807,-1.252,-3.366,0.885,0,0,0,0,0,699
0,12,61,0,0,0,0,0,0,0,0,-0.32,0.07,0.794,0.031,-2.092,0.687,0,0,0,0,0,700
0,12,210,0,0,0,0,0,0,0,0,-0.33,0.071,0.82,-1.153,-2.893,0.542,0,0,0,0,0,694
0,12,351,0,0,0,0,0,0,0,0,-0.33,0.043,0.815,-0.443,-2.092,0.71,0,0,0,0,0,697
0,12,495,0,0,0,0,0,0,0,0,-0.33,0.079,0.81,-0.573,-1.908,0.618,0,0,0,0,0,702
0,12,637,0,0,0,0,0,0,0,0,-0.33,0.065,0.839,-1.053,-3.588,1.015,0,0,0,0,0,704
0,12,778,0,0,0,0,0,0,0,0,-0.32,0.054,0.803,-0.771,-2.443,0.733,0,0,0,0,0,710
0,12,919,0,0,0,0,0,0,0,0,-0.33,0.082,0.833,-0.412,-1.74,0.626,0,0,0,0,0,703
0,13,64,0,0,0,0,0,0,0,0,-0.33,0.072,0.821,-1.954,-3.298,0.817,0,0,0,0,0,706
0,13,204,0,0,0,0,0,0,0,0,-0.33,0.041,0.797,-0.282,-2.481,0.435,0,0,0,0,0,705
0,13,344,0,0,0,0,0,0,0,0,-0.34,0.08,0.826,0.374,-1.771,0.824,0,0,0,0,0,706
0,13,485,0,0,0,0,0,0,0,0,-0.34,0.079,0.833,-0.992,-2.733,0.687,0,0,0,0,0,704
0,13,624,0,0,0,0,0,0,0,0,-0.33,0.067,0.804,-1.611,-2.756,0.527,0,0,0,0,0,696
0,13,771,0,0,0,0,0,0,0,0,-0.32,0.09,0.814,1.084,-1.328,1.038,0,0,0,0,0,692
0,13,913,0,0,0,0,0,0,0,0,-0.33,0.078,0.846,-0.885,-2.359,0.71,0,0,0,0,0,690
0,14,55,0,0,0,0,0,0,0,0,-0.32,0.064,0.806,-1.244,-2.611,0.779,0,0,0,0,0,688
0,14,194,0,0,0,0,0,0,0,0,-0.33,0.051,0.838,-0.145,-2.817,0.763,0,0,0,0,0,692
0,14,340,0,0,0,0,0,0,0,0,-0.32,0.079,0.831,-1.481,-1.763,0.466,0,0,0,0,0,692
0,14,480,0,0,0,0,0,0,0,0,-0.33,0.076,0.826,-0.427,-3.115,0.305,0,0,0,0,0,698
0,14,621,0,0,0,0,0,0,0,0,-0.33,0.052,0.82,-1.977,-2.504,0.481,0,0,0,0,0,701
0,14,796,0,0,0,0,0,0,0,0,-0.34,0.041,0.822,-1.802,-2.725,0.511,0,0,0,0,0,699
0,14,943,0,0,0,0,0,0,0,0,-0.34,0.096,0.798,-2.718,-1.176,0.588,0,0,0,0,0,760
0,15,85,0,0,0,0,0,0,0,0,-0.33,0.026,0.911,2.466,-1.168,0.366,0,0,0,0,0,1104
0,15,227,0,0,0,0,0,0,0,0,-0.33,0.039,0.813,-1.435,-1.71,0.603,0,0,0,0,0,1466
0,15,371,0,0,0,0,0,0,0,0,-0.32,0.091,0.793,-1.092,-1.389,0.443,0,0,0,0,0,1549
0,15,518,0,0,0,0,0,0,0,0,-0.33,0.071,0.823,0.626,-2.542,0.832,0,0,0,0,0,1547
